timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636453347058,101,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-5,text,true,,159,164284,21,21,http://192.168.1.80:5000/upload,100,0,52
1636453347048,112,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-12,text,true,,159,148924,21,21,http://192.168.1.80:5000/upload,109,0,65
1636453347061,98,Medium text upload 1,200,OK,Realistic WL 20 static types 1-1,text,true,,159,143787,21,21,http://192.168.1.80:5000/upload,93,0,50
1636453347061,99,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-10,text,true,,159,143828,21,21,http://192.168.1.80:5000/upload,98,0,49
1636453347061,104,Medium text upload 4,200,OK,Realistic WL 20 static types 1-3,text,true,,159,159168,21,21,http://192.168.1.80:5000/upload,104,0,50
1636453347043,171,Medium binary upload 4,200,OK,Realistic WL 20 static types 1-15,text,true,,159,159185,23,23,http://192.168.1.80:5000/upload,170,0,70
1636453347047,169,Medium text upload 4,200,OK,Realistic WL 20 static types 1-7,text,true,,159,159165,24,24,http://192.168.1.80:5000/upload,169,0,67
1636453347134,109,Medium text upload 4,200,OK,Realistic WL 20 static types 1-20,text,true,,159,159147,25,25,http://192.168.1.80:5000/upload,109,0,1
1636453347174,79,Medium binary upload 3,200,OK,Realistic WL 20 static types 1-22,text,true,,159,154071,25,25,http://192.168.1.80:5000/upload,79,0,1
1636453347154,155,Medium binary upload 4,200,OK,Realistic WL 20 static types 1-21,text,true,,159,159185,28,28,http://192.168.1.80:5000/upload,155,0,1
1636453347215,96,Medium binary upload 4,200,OK,Realistic WL 20 static types 1-24,text,true,,159,159170,28,28,http://192.168.1.80:5000/upload,96,0,2
1636453347261,52,Medium text upload 4,200,OK,Realistic WL 20 static types 1-26,text,true,,159,159168,28,28,http://192.168.1.80:5000/upload,51,0,1
1636453347279,53,Medium text upload 4,200,OK,Realistic WL 20 static types 1-27,text,true,,159,159156,29,29,http://192.168.1.80:5000/upload,52,0,1
1636453347312,21,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-28,text,true,,159,164305,29,29,http://192.168.1.80:5000/upload,21,0,2
1636453347341,8,Medium binary upload 4,200,OK,Realistic WL 20 static types 1-30,text,true,,159,159161,30,30,http://192.168.1.80:5000/upload,8,0,1
1636453347356,10,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-31,text,true,,159,164281,31,31,http://192.168.1.80:5000/upload,9,0,1
1636453347418,20,Medium text upload 1,200,OK,Realistic WL 20 static types 1-34,text,true,,159,143814,35,35,http://192.168.1.80:5000/upload,20,0,3
1636453347435,22,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-35,text,true,,159,148942,35,35,http://192.168.1.80:5000/upload,21,0,4
1636453347464,68,Medium text upload 5,200,OK,Realistic WL 20 static types 1-36,text,true,,159,164273,39,39,http://192.168.1.80:5000/upload,68,0,4
1636453347495,52,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-38,text,true,,159,164299,40,40,http://192.168.1.80:5000/upload,52,0,3
1636453347519,98,Medium text upload 5,200,OK,Realistic WL 20 static types 1-39,text,true,,159,164285,44,44,http://192.168.1.80:5000/upload,98,0,2
1636453347539,173,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-40,text,true,,159,148933,48,48,http://192.168.1.80:5000/upload,173,0,3
1636453347577,144,Medium text upload 4,200,OK,Realistic WL 20 static types 1-42,text,true,,159,159177,49,49,http://192.168.1.80:5000/upload,144,0,1
1636453347594,142,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-43,text,true,,159,164287,49,49,http://192.168.1.80:5000/upload,142,0,2
1636453347562,177,Medium text upload 4,200,OK,Realistic WL 20 static types 1-41,text,true,,159,159153,49,49,http://192.168.1.80:5000/upload,176,0,1
1636453347634,110,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-45,text,true,,159,164284,49,49,http://192.168.1.80:5000/upload,110,0,1
1636453347693,52,Medium text upload 1,200,OK,Realistic WL 20 static types 1-48,text,true,,159,143808,50,50,http://192.168.1.80:5000/upload,52,0,1
1636453347195,2210,Medium text download 4,200,OK,Realistic WL 20 static types 1-23,text,true,,158996,134,50,50,http://192.168.1.80:5000/volume/155.txt,2209,0,0
1636453347056,2350,Medium binary download 3,200,OK,Realistic WL 20 static types 1-9,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,2349,0,57
1636453347037,2371,Medium text download 5,200,OK,Realistic WL 20 static types 1-2,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,2213,0,77
1636453347061,2444,Medium text download 3,200,OK,Realistic WL 20 static types 1-16,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,2181,0,50
1636453347236,2275,Medium binary download 4,200,OK,Realistic WL 20 static types 1-25,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,2177,0,1
1636453347100,2427,Medium text download 1,200,OK,Realistic WL 20 static types 1-18,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,2242,0,14
1636453347656,1880,Medium binary download 3,200,OK,Realistic WL 20 static types 1-46,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,1663,0,1
1636453347747,1814,Medium text download 2,200,OK,Realistic WL 20 static types 1-50,text,true,,148756,134,50,50,http://192.168.1.80:5000/volume/145.txt,1667,0,2
1636453347061,2547,Medium binary download 4,200,OK,Realistic WL 20 static types 1-13,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,2353,0,52
1636453347058,2554,Medium binary download 3,200,OK,Realistic WL 20 static types 1-4,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,2385,0,53
1636453347058,2562,Medium binary download 5,200,OK,Realistic WL 20 static types 1-11,text,true,,164115,134,50,50,http://192.168.1.80:5000/volume/160.bin,2374,0,56
1636453347061,2563,Medium binary download 5,200,OK,Realistic WL 20 static types 1-14,text,true,,164115,134,50,50,http://192.168.1.80:5000/volume/160.bin,2380,0,52
1636453347718,1912,Medium binary download 1,200,OK,Realistic WL 20 static types 1-49,text,true,,143635,134,50,50,http://192.168.1.80:5000/volume/140.bin,1888,0,2
1636453347373,2258,Medium binary download 1,200,OK,Realistic WL 20 static types 1-32,text,true,,143635,134,50,50,http://192.168.1.80:5000/volume/140.bin,2067,0,1
1636453349054,582,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-10,text,true,,159,143825,50,50,http://192.168.1.80:5000/upload,581,0,2
1636453348860,779,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-1,text,true,,159,143816,50,50,http://192.168.1.80:5000/upload,779,0,2
1636453347082,2559,Medium text download 5,200,OK,Realistic WL 20 static types 1-17,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,2359,0,31
1636453348897,753,Medium binary upload 3,200,OK,Realistic WL 20 static types 1-3,text,true,,159,154041,50,50,http://192.168.1.80:5000/upload,752,0,2
1636453347324,2326,Medium text download 2,200,OK,Realistic WL 20 static types 1-29,text,true,,148756,134,50,50,http://192.168.1.80:5000/volume/145.txt,2196,0,1
1636453349085,619,Medium text upload 4,200,OK,Realistic WL 20 static types 1-12,text,true,,159,159171,50,50,http://192.168.1.80:5000/upload,619,0,2
1636453347040,2667,Medium text download 4,200,OK,Realistic WL 20 static types 1-8,text,true,,158996,134,50,50,http://192.168.1.80:5000/volume/155.txt,2408,0,74
1636453348939,772,Medium binary download 1,200,OK,Realistic WL 20 static types 1-5,text,true,,143635,134,50,50,http://192.168.1.80:5000/volume/140.bin,598,0,1
1636453349295,424,Medium text upload 2,200,OK,Realistic WL 20 static types 1-7,text,true,,159,148919,50,50,http://192.168.1.80:5000/upload,424,0,1
1636453347120,2607,Medium text download 4,200,OK,Realistic WL 20 static types 1-19,text,true,,158996,134,50,50,http://192.168.1.80:5000/volume/155.txt,2406,0,1
1636453347615,2123,Medium text download 1,200,OK,Realistic WL 20 static types 1-44,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,1916,0,2
1636453347675,2069,Medium binary download 3,200,OK,Realistic WL 20 static types 1-47,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,1834,0,1
1636453347059,2754,Medium binary download 1,200,OK,Realistic WL 20 static types 1-6,text,true,,143635,134,50,50,http://192.168.1.80:5000/volume/140.bin,2455,0,54
1636453347476,2340,Medium text download 3,200,OK,Realistic WL 20 static types 1-37,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,2131,0,2
1636453347395,2424,Medium binary download 4,200,OK,Realistic WL 20 static types 1-33,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,2157,0,0
1636453349674,159,Medium text upload 3,200,OK,Realistic WL 20 static types 1-22,text,true,,159,154030,50,50,http://192.168.1.80:5000/upload,159,0,2
1636453349443,391,Medium text download 3,200,OK,Realistic WL 20 static types 1-15,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,361,0,2
1636453349634,202,Medium text download 3,200,OK,Realistic WL 20 static types 1-20,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,180,0,2
1636453349954,13,Medium text download 2,200,OK,Realistic WL 20 static types 1-21,text,true,,148756,134,50,50,http://192.168.1.80:5000/volume/145.txt,10,0,2
1636453350014,13,Medium binary download 2,200,OK,Realistic WL 20 static types 1-24,text,true,,148755,134,50,50,http://192.168.1.80:5000/volume/145.bin,10,0,2
1636453350061,25,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-26,text,true,,159,143807,50,50,http://192.168.1.80:5000/upload,25,0,4
1636453350179,26,Medium binary upload 3,200,OK,Realistic WL 20 static types 1-27,text,true,,159,154071,50,50,http://192.168.1.80:5000/upload,26,0,3
1636453350210,26,Medium text upload 1,200,OK,Realistic WL 20 static types 1-28,text,true,,159,143799,50,50,http://192.168.1.80:5000/upload,25,0,3
1636453350341,14,Medium binary download 3,200,OK,Realistic WL 20 static types 1-30,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,11,0,2
1636453350456,15,Medium binary download 3,200,OK,Realistic WL 20 static types 1-31,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,12,0,3
1636453350917,33,Medium binary upload 3,200,OK,Realistic WL 20 static types 1-34,text,true,,159,154050,50,50,http://192.168.1.80:5000/upload,32,0,3
1636453350934,18,Medium binary download 4,200,OK,Realistic WL 20 static types 1-35,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,12,0,2
1636453351362,27,Medium binary upload 4,200,OK,Realistic WL 20 static types 1-36,text,true,,159,159161,50,50,http://192.168.1.80:5000/upload,26,0,3
1636453351495,11,Medium text download 5,200,OK,Realistic WL 20 static types 1-38,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,9,0,2
1636453351785,28,Medium text upload 3,200,OK,Realistic WL 20 static types 1-2,text,true,,159,154030,50,50,http://192.168.1.80:5000/upload,27,0,2
1636453351835,8,Medium text download 1,200,OK,Realistic WL 20 static types 1-4,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,7,0,1
1636453351859,19,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-6,text,true,,159,164308,50,50,http://192.168.1.80:5000/upload,19,0,2
1636453351895,22,Medium text download 1,200,OK,Realistic WL 20 static types 1-8,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,5,0,1
1636453351917,17,Medium binary upload 4,200,OK,Realistic WL 20 static types 1-39,text,true,,159,159161,50,50,http://192.168.1.80:5000/upload,17,0,2
1636453351917,18,Medium text download 3,200,OK,Realistic WL 20 static types 1-9,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,12,0,2
1636453351967,12,Medium text upload 3,200,OK,Realistic WL 20 static types 1-11,text,true,,159,154036,50,50,http://192.168.1.80:5000/upload,12,0,1
1636453352002,12,Medium text upload 2,200,OK,Realistic WL 20 static types 1-13,text,true,,159,148910,50,50,http://192.168.1.80:5000/upload,12,0,2
1636453352014,11,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-14,text,true,,159,143810,50,50,http://192.168.1.80:5000/upload,10,0,1
1636453352060,7,Medium binary download 1,200,OK,Realistic WL 20 static types 1-16,text,true,,143635,134,50,50,http://192.168.1.80:5000/volume/140.bin,5,0,1
1636453352081,8,Medium binary download 4,200,OK,Realistic WL 20 static types 1-17,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,6,0,2
1636453352098,14,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-18,text,true,,159,143807,50,50,http://192.168.1.80:5000/upload,14,0,2
1636453352119,15,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-19,text,true,,159,148945,50,50,http://192.168.1.80:5000/upload,15,0,2
1636453352194,14,Medium text download 1,200,OK,Realistic WL 20 static types 1-23,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,10,0,2
1636453352235,23,Medium text upload 2,200,OK,Realistic WL 20 static types 1-25,text,true,,159,148910,50,50,http://192.168.1.80:5000/upload,23,0,2
1636453352323,14,Medium text download 5,200,OK,Realistic WL 20 static types 1-29,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,11,0,2
1636453352337,34,Medium text upload 2,200,OK,Realistic WL 20 static types 1-40,text,true,,159,148919,50,50,http://192.168.1.80:5000/upload,33,0,4
1636453352372,39,Medium binary upload 3,200,OK,Realistic WL 20 static types 1-32,text,true,,159,154053,50,50,http://192.168.1.80:5000/upload,39,0,4
1636453352394,20,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-33,text,true,,159,164287,50,50,http://192.168.1.80:5000/upload,20,0,2
1636453352460,6,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-41,text,true,,159,143801,50,50,http://192.168.1.80:5000/upload,6,0,1
1636453352475,4,Medium text download 5,200,OK,Realistic WL 20 static types 1-42,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,4,0,1
1636453352474,6,Medium text download 3,200,OK,Realistic WL 20 static types 1-37,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,4,0,0
1636453352492,4,Medium binary download 1,200,OK,Realistic WL 20 static types 1-43,text,true,,143635,134,50,50,http://192.168.1.80:5000/volume/140.bin,3,0,1
1636453352532,8,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-45,text,true,,159,143819,50,50,http://192.168.1.80:5000/upload,8,0,1
1636453352613,24,Medium text upload 2,200,OK,Realistic WL 20 static types 1-44,text,true,,159,148910,50,50,http://192.168.1.80:5000/upload,24,0,2
1636453352654,15,Medium text download 1,200,OK,Realistic WL 20 static types 1-46,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,11,0,2
1636453352673,13,Medium text download 1,200,OK,Realistic WL 20 static types 1-47,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,11,0,2
1636453352692,27,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-48,text,true,,159,148942,50,50,http://192.168.1.80:5000/upload,26,0,2
1636453352717,8,Medium text download 1,200,OK,Realistic WL 20 static types 1-49,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,7,0,2
1636453352746,16,Medium text upload 3,200,OK,Realistic WL 20 static types 1-50,text,true,,159,154048,50,50,http://192.168.1.80:5000/upload,15,0,1
1636453353860,12,Medium text upload 1,200,OK,Realistic WL 20 static types 1-1,text,true,,159,143799,50,50,http://192.168.1.80:5000/upload,12,0,3
1636453353897,7,Medium text upload 3,200,OK,Realistic WL 20 static types 1-3,text,true,,159,154039,50,50,http://192.168.1.80:5000/upload,7,0,1
1636453353937,7,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-5,text,true,,159,164293,50,50,http://192.168.1.80:5000/upload,7,0,1
1636453354054,29,Medium text upload 1,200,OK,Realistic WL 20 static types 1-10,text,true,,159,143808,50,50,http://192.168.1.80:5000/upload,29,0,3
1636453354084,15,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-12,text,true,,159,143825,50,50,http://192.168.1.80:5000/upload,15,0,2
1636453354295,13,Medium binary download 1,200,OK,Realistic WL 20 static types 1-7,text,true,,143635,134,50,50,http://192.168.1.80:5000/volume/140.bin,10,0,1
1636453354442,15,Medium text download 1,200,OK,Realistic WL 20 static types 1-15,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,10,0,2
1636453354634,14,Medium binary download 4,200,OK,Realistic WL 20 static types 1-20,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,10,0,2
1636453354673,13,Medium text download 5,200,OK,Realistic WL 20 static types 1-22,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,10,0,2
1636453354953,14,Medium binary download 2,200,OK,Realistic WL 20 static types 1-21,text,true,,148755,134,50,50,http://192.168.1.80:5000/volume/145.bin,11,0,3
